source,news_count,intensity_index,last_update,cycle
okdiario,1854,84.5,2026-03-12 19:33,2026-03-12 19:33
lavanguardia,1656,75.4,2026-03-12 19:33,2026-03-12 19:33
elcorreo,1495,68.1,2026-03-12 19:33,2026-03-12 19:33
elpais,1233,56.2,2026-03-12 19:33,2026-03-12 19:33
eldiario,784,35.7,2026-03-12 19:33,2026-03-12 19:33
huffington_es,598,27.2,2026-03-12 19:33,2026-03-12 19:33
expansion,484,22.1,2026-03-12 19:33,2026-03-12 19:33
elespanol,452,20.6,2026-03-12 19:33,2026-03-12 19:33
elmundo,442,20.1,2026-03-12 19:33,2026-03-12 19:33
google_news_politica,389,17.7,2026-03-12 19:33,2026-03-12 19:33
france24_es,370,16.9,2026-03-12 19:33,2026-03-12 19:33
infolibre,255,11.6,2026-03-12 19:33,2026-03-12 19:33
europapress,254,11.6,2026-03-12 19:33,2026-03-12 19:33
elconfidencial,146,6.7,2026-03-12 19:33,2026-03-12 19:33
elmundo_espana,129,5.9,2026-03-12 19:33,2026-03-12 19:33
bbc_mundo,126,5.7,2026-03-12 19:33,2026-03-12 19:33
maldita,112,5.1,2026-03-12 19:33,2026-03-12 19:33
elmundo_internacional,96,4.4,2026-03-12 19:33,2026-03-12 19:33
elpais_internacional,78,3.6,2026-03-12 19:33,2026-03-12 19:33
newtral,66,3.0,2026-03-12 19:33,2026-03-12 19:33
20minutos,2199,100.0,2026-03-12 20:03,2026-03-12 20:03
heraldo_aragon,1932,87.9,2026-03-12 20:03,2026-03-12 20:03
levante_emv,1885,85.7,2026-03-12 20:03,2026-03-12 20:03
google_news_es,1865,84.8,2026-03-12 20:03,2026-03-12 20:03
okdiario,1859,84.5,2026-03-12 20:03,2026-03-12 20:03
lavanguardia,1656,75.3,2026-03-12 20:03,2026-03-12 20:03
elcorreo,1508,68.6,2026-03-12 20:03,2026-03-12 20:03
elpais,1237,56.3,2026-03-12 20:03,2026-03-12 20:03
eldiario,784,35.7,2026-03-12 20:03,2026-03-12 20:03
huffington_es,600,27.3,2026-03-12 20:03,2026-03-12 20:03
expansion,485,22.1,2026-03-12 20:03,2026-03-12 20:03
elespanol,454,20.6,2026-03-12 20:03,2026-03-12 20:03
elmundo,447,20.3,2026-03-12 20:03,2026-03-12 20:03
google_news_politica,390,17.7,2026-03-12 20:03,2026-03-12 20:03
france24_es,371,16.9,2026-03-12 20:03,2026-03-12 20:03
infolibre,256,11.6,2026-03-12 20:03,2026-03-12 20:03
europapress,254,11.6,2026-03-12 20:03,2026-03-12 20:03
