keyword,count,last_update,cycle
20,46445,2026-03-27 05:01:00+00:00,2026-03-27 05:01
irán,227561,2026-03-27 05:31:00+00:00,2026-03-27 05:31
guerra,211697,2026-03-27 05:31:00+00:00,2026-03-27 05:31
internacional,207184,2026-03-27 05:31:00+00:00,2026-03-27 05:31
trump,151760,2026-03-27 05:31:00+00:00,2026-03-27 05:31
sánchez,114572,2026-03-27 05:31:00+00:00,2026-03-27 05:31
guerra irán,97122,2026-03-27 05:31:00+00:00,2026-03-27 05:31
israel,82020,2026-03-27 05:31:00+00:00,2026-03-27 05:31
málaga,60871,2026-03-27 05:31:00+00:00,2026-03-27 05:31
anuncia,53798,2026-03-27 05:31:00+00:00,2026-03-27 05:31
petróleo,53227,2026-03-27 05:31:00+00:00,2026-03-27 05:31
ormuz,53073,2026-03-27 05:31:00+00:00,2026-03-27 05:31
muere,51417,2026-03-27 05:31:00+00:00,2026-03-27 05:31
santa,51289,2026-03-27 05:31:00+00:00,2026-03-27 05:31
aragón,51132,2026-03-27 05:31:00+00:00,2026-03-27 05:31
plan,50207,2026-03-27 05:31:00+00:00,2026-03-27 05:31
mundial,49605,2026-03-27 05:31:00+00:00,2026-03-27 05:31
diario,49596,2026-03-27 05:31:00+00:00,2026-03-27 05:31
carlos,47401,2026-03-27 05:31:00+00:00,2026-03-27 05:31
irán,227280,2026-03-27 06:01:00+00:00,2026-03-27 06:01
guerra,213957,2026-03-27 06:01:00+00:00,2026-03-27 06:01
internacional,207555,2026-03-27 06:01:00+00:00,2026-03-27 06:01
trump,151574,2026-03-27 06:01:00+00:00,2026-03-27 06:01
sánchez,117403,2026-03-27 06:01:00+00:00,2026-03-27 06:01
guerra irán,97215,2026-03-27 06:01:00+00:00,2026-03-27 06:01
israel,82116,2026-03-27 06:01:00+00:00,2026-03-27 06:01
málaga,60839,2026-03-27 06:01:00+00:00,2026-03-27 06:01
anuncia,54284,2026-03-27 06:01:00+00:00,2026-03-27 06:01
ormuz,53310,2026-03-27 06:01:00+00:00,2026-03-27 06:01
petróleo,53230,2026-03-27 06:01:00+00:00,2026-03-27 06:01
muere,51418,2026-03-27 06:01:00+00:00,2026-03-27 06:01
santa,51095,2026-03-27 06:01:00+00:00,2026-03-27 06:01
aragón,51046,2026-03-27 06:01:00+00:00,2026-03-27 06:01
mundial,49762,2026-03-27 06:01:00+00:00,2026-03-27 06:01
diario,49600,2026-03-27 06:01:00+00:00,2026-03-27 06:01
plan,49425,2026-03-27 06:01:00+00:00,2026-03-27 06:01
carlos,47630,2026-03-27 06:01:00+00:00,2026-03-27 06:01
irán,227234,2026-03-27 06:31:00+00:00,2026-03-27 06:31
guerra,214709,2026-03-27 06:31:00+00:00,2026-03-27 06:31
internacional,208424,2026-03-27 06:31:00+00:00,2026-03-27 06:31
trump,151791,2026-03-27 06:31:00+00:00,2026-03-27 06:31
sánchez,118370,2026-03-27 06:31:00+00:00,2026-03-27 06:31
guerra irán,97355,2026-03-27 06:31:00+00:00,2026-03-27 06:31
israel,82000,2026-03-27 06:31:00+00:00,2026-03-27 06:31
málaga,60852,2026-03-27 06:31:00+00:00,2026-03-27 06:31
anuncia,54291,2026-03-27 06:31:00+00:00,2026-03-27 06:31
petróleo,53039,2026-03-27 06:31:00+00:00,2026-03-27 06:31
