persona,mentions,positive,negative,neutral,sentiment_score,top_sources,last_title,last_update,cycle
Zelenski,135,23,9,103,0.104,"{'20minutos': 27, 'google_news_es': 20, 'france24_es': 12, 'levante_emv': 12, 'elmundo_internacional': 9}","Rusia se niega a extender la tregua de Pascua si Zelenski no ""acepta sus condiciones""",2026-04-13 22:07:00+00:00,2026-04-13 22:07
Milei,127,23,12,92,0.087,"{'google_news_politica': 23, 'elpais': 20, 'google_news_internacional': 15, 'google_news_es': 7, 'eldiario': 7}","Milei ya tiene su 'Ábalos': Adorni, jefe de gabinete, mano derecha y portavoz, imputado por enriquecimiento ilegal",2026-04-13 22:07:00+00:00,2026-04-13 22:07
Puigdemont,109,12,12,85,0.0,"{'lavanguardia': 32, 'levante_emv': 11, 'elespanol': 9, 'google_news_politica': 8, '20minutos': 7}",Los autónomos presionan junto a Junts para que el Gobierno congele las cuotas de todo el colectivo y no solo de una part,2026-04-13 22:07:00+00:00,2026-04-13 22:07
Macron,108,27,6,75,0.194,"{'google_news_internacional': 26, 'france24_es': 14, 'google_news_es': 11, '20minutos': 10, 'levante_emv': 8}",Macron recibe en el Elíseo a María Corina Machado en la antesala de su viaje a España,2026-04-13 22:07:00+00:00,2026-04-13 22:07
Montero MJ,84,7,8,69,-0.012,"{'google_news_politica': 15, 'elespanol': 10, 'levante_emv': 9, 'google_news_es': 8, 'sur': 8}",María Jesús Montero comparecerá en la comisión de investigación sobre la SEPI en el Senado el 20 de abril - RTVE.es,2026-04-13 22:07:00+00:00,2026-04-13 22:07
Lula,84,7,2,75,0.06,"{'google_news_es': 24, 'levante_emv': 7, 'eldiario': 6, 'elpais': 6, 'okdiario': 6}",El ICE detiene en Florida a un exdiputado brasileño condenado por la trama golpista contra Lula,2026-04-13 22:07:00+00:00,2026-04-13 22:07
Modi,78,4,3,71,0.013,"{'google_news_es': 9, 'lavanguardia': 9, 'heraldo_aragon': 8, 'levante_emv': 8, '20minutos': 6}",De Guindos tiene la solución al problema de la vivienda en España: “Hay que modificar la regulación del alquiler” - Info,2026-04-13 22:07:00+00:00,2026-04-13 22:07
Rajoy,67,0,2,65,-0.03,"{'google_news_es': 9, 'google_news_politica': 8, 'levante_emv': 7, 'huffington_es': 7, 'eldiario': 6}","Gonzalo Fraga, el testigo de  cargo capaz de descifrar al 'asturiano' Rajoy  y a 'Cospe'",2026-04-13 22:07:00+00:00,2026-04-13 22:07
Irene Montero,67,0,1,66,-0.015,"{'huffington_es': 11, 'elespanol': 10, 'google_news_es': 6, '20minutos': 5, 'europapress': 5}",Irene Montero vuelve a compartir un acto con partidos que están en Sumar: charla con Mónica Oltra (Compromís) y Sira Reg,2026-04-13 22:07:00+00:00,2026-04-13 22:07
Meloni,56,0,22,34,-0.393,"{'google_news_internacional': 13, 'lavanguardia': 7, 'levante_emv': 6, 'elcorreo': 4, 'elmundo': 4}",Meloni cierra filas con León XIV: «Las palabras de Trump sobre el Papa son inaceptables» - ABC,2026-04-13 22:07:00+00:00,2026-04-13 22:07
Starmer,29,9,1,19,0.276,"{'20minutos': 4, 'google_news_es': 4, 'google_news_internacional': 4, 'levante_emv': 2, 'lavanguardia': 2}",Starmer busca impulsar nuevas leyes que le permitan acercarse a la UE sin el bloqueo del Parlamento británico,2026-04-13 22:07:00+00:00,2026-04-13 22:07
Erdogan,8,1,1,6,0.0,"{'google_news_internacional': 3, 'france24_es': 2, 'elpais_internacional': 1, 'levante_emv': 1, 'elpais': 1}",Ataques rusos dejan cinco muertos en Ucrania mientras Zelenski se reúne con Erdogan en Estambul,2026-04-13 22:07:00+00:00,2026-04-13 22:07
Trudeau,2,0,0,2,0.0,"{'lavanguardia': 1, 'elpais_internacional': 1}","El príncipe Enrique y Justin Trudeau, juntos de vacaciones con Meghan Markle y Katy Perry",2026-04-13 22:07:00+00:00,2026-04-13 22:07
Scholz,0,0,0,0,0.0,,,2026-04-13 22:07:00+00:00,2026-04-13 22:07
Trump,3792,398,202,3192,0.052,"{'google_news_internacional': 601, 'google_news_es': 516, '20minutos': 329, 'lavanguardia': 280, 'france24_es': 225}",Indignación en EE. UU.: Trump arremete contra el papa y publica imagen en la que se muestra como Jesucristo,2026-04-13 22:37:00+00:00,2026-04-13 22:37
Xi Jinping,3350,465,125,2760,0.101,"{'google_news_internacional': 372, '20minutos': 337, 'google_news_es': 334, 'okdiario': 280, 'levante_emv': 239}",¿El espacio se convertirá en basurero? Innovaciones ante un problema que exige regulación,2026-04-13 22:37:00+00:00,2026-04-13 22:37
Illa,3146,257,91,2798,0.053,"{'okdiario': 426, '20minutos': 364, 'google_news_es': 352, 'google_news_internacional': 246, 'elpais': 206}",0-0 | Punto de oficio en Zorrilla - SD Eibar,2026-04-13 22:37:00+00:00,2026-04-13 22:37
Sánchez,1823,198,137,1488,0.033,"{'google_news_politica': 261, 'okdiario': 232, '20minutos': 156, 'google_news_es': 142, 'huffington_es': 130}","""Intentan contraprogramar"": el PSOE apunta al PP por reunirse con María Corina Machado durante su visita a  España mient",2026-04-13 22:37:00+00:00,2026-04-13 22:37
Feijóo,1574,236,169,1169,0.043,"{'google_news_politica': 178, 'google_news_es': 144, 'levante_emv': 124, 'eldiario': 120, '20minutos': 115}","""Intentan contraprogramar"": el PSOE apunta al PP por reunirse con María Corina Machado durante su visita a  España mient",2026-04-13 22:37:00+00:00,2026-04-13 22:37
Abascal,1343,229,114,1000,0.086,"{'google_news_politica': 147, 'google_news_es': 121, 'heraldo_aragon': 107, 'levante_emv': 102, 'okdiario': 97}","Triple golpe a Vox por la caída de Orban: financiero, estratégico y de futuro",2026-04-13 22:37:00+00:00,2026-04-13 22:37
Yolanda Díaz,485,62,24,399,0.078,"{'20minutos': 65, 'google_news_es': 42, 'elcorreo': 33, 'levante_emv': 32, 'google_news_politica': 30}",Rosalía arranca su 'Lux Tour' en Barcelona hablando a sus fans en catalán y Yolanda Ramos en el 'confesionario',2026-04-13 22:37:00+00:00,2026-04-13 22:37
Mazón,422,15,44,363,-0.069,"{'elpais': 81, 'google_news_es': 57, 'lavanguardia': 49, 'levante_emv': 49, 'okdiario': 26}","La casa de lujo prefabricada de Amazon: cocina, salón, dos habitaciones y baño equipado por 11.000 euros",2026-04-13 22:37:00+00:00,2026-04-13 22:37
Puente,334,24,12,298,0.036,"{'okdiario': 51, 'google_news_internacional': 43, '20minutos': 39, 'google_news_es': 31, 'heraldo_aragon': 27}","Los dos purgados por Puente, ante el Supremo para explicar el gran pelotazo de la trama de Ábalos: 4 millones en 38 minu",2026-04-13 22:37:00+00:00,2026-04-13 22:37
Ayuso,279,36,16,227,0.072,"{'okdiario': 41, 'elpais': 33, 'google_news_es': 29, 'huffington_es': 26, 'eldiario': 25}",El Gobierno de Ayuso lo confirma y la agricultura lo celebra: se mantienen las dos ayudas más necesarias para el sector,2026-04-13 22:37:00+00:00,2026-04-13 22:37
Putin,170,13,7,150,0.035,"{'google_news_es': 29, '20minutos': 23, 'google_news_internacional': 21, 'elespanol': 13, 'france24_es': 12}","Magyar promete un cambio de régimen para alejarse de Putin: ""El lugar de Hungría era, es y será en Europa""",2026-04-13 22:37:00+00:00,2026-04-13 22:37
Jamenei,168,7,4,157,0.018,"{'20minutos': 28, 'okdiario': 21, 'google_news_es': 21, 'lavanguardia': 18, 'france24_es': 13}","Mojtaba Jamenei está desfigurado pero vivo y sigue dándo órdenes, según su círculo más íntimo",2026-04-13 22:37:00+00:00,2026-04-13 22:37
Zelenski,135,23,9,103,0.104,"{'20minutos': 27, 'google_news_es': 20, 'france24_es': 12, 'levante_emv': 12, 'elmundo_internacional': 9}","Rusia se niega a extender la tregua de Pascua si Zelenski no ""acepta sus condiciones""",2026-04-13 22:37:00+00:00,2026-04-13 22:37
Milei,128,23,12,93,0.086,"{'google_news_politica': 24, 'elpais': 20, 'google_news_internacional': 15, 'google_news_es': 7, 'eldiario': 7}","Milei ya tiene su 'Ábalos': Adorni, jefe de gabinete, mano derecha y portavoz, imputado por enriquecimiento ilegal",2026-04-13 22:37:00+00:00,2026-04-13 22:37
Puigdemont,109,12,12,85,0.0,"{'lavanguardia': 32, 'levante_emv': 11, 'elespanol': 9, 'google_news_politica': 8, '20minutos': 7}",Los autónomos presionan junto a Junts para que el Gobierno congele las cuotas de todo el colectivo y no solo de una part,2026-04-13 22:37:00+00:00,2026-04-13 22:37
Macron,108,27,6,75,0.194,"{'google_news_internacional': 26, 'france24_es': 14, 'google_news_es': 11, '20minutos': 10, 'levante_emv': 8}",Macron recibe en el Elíseo a María Corina Machado en la antesala de su viaje a España,2026-04-13 22:37:00+00:00,2026-04-13 22:37
Montero MJ,84,7,8,69,-0.012,"{'google_news_politica': 15, 'elespanol': 10, 'levante_emv': 9, 'google_news_es': 8, 'sur': 8}",María Jesús Montero comparecerá en la comisión de investigación sobre la SEPI en el Senado el 20 de abril - RTVE.es,2026-04-13 22:37:00+00:00,2026-04-13 22:37
Lula,84,7,2,75,0.06,"{'google_news_es': 24, 'levante_emv': 7, 'eldiario': 6, 'elpais': 6, 'okdiario': 6}",El ICE detiene en Florida a un exdiputado brasileño condenado por la trama golpista contra Lula,2026-04-13 22:37:00+00:00,2026-04-13 22:37
Modi,78,4,3,71,0.013,"{'google_news_es': 9, 'lavanguardia': 9, 'heraldo_aragon': 8, 'levante_emv': 8, '20minutos': 6}",De Guindos tiene la solución al problema de la vivienda en España: “Hay que modificar la regulación del alquiler” - Info,2026-04-13 22:37:00+00:00,2026-04-13 22:37
Rajoy,67,0,2,65,-0.03,"{'google_news_es': 9, 'google_news_politica': 8, 'levante_emv': 7, 'huffington_es': 7, 'eldiario': 6}","Gonzalo Fraga, el testigo de  cargo capaz de descifrar al 'asturiano' Rajoy  y a 'Cospe'",2026-04-13 22:37:00+00:00,2026-04-13 22:37
Irene Montero,67,0,1,66,-0.015,"{'huffington_es': 11, 'elespanol': 10, 'google_news_es': 6, '20minutos': 5, 'europapress': 5}",Irene Montero vuelve a compartir un acto con partidos que están en Sumar: charla con Mónica Oltra (Compromís) y Sira Reg,2026-04-13 22:37:00+00:00,2026-04-13 22:37
Meloni,56,0,22,34,-0.393,"{'google_news_internacional': 13, 'lavanguardia': 7, 'levante_emv': 6, 'elcorreo': 4, 'elmundo': 4}",Meloni cierra filas con León XIV: «Las palabras de Trump sobre el Papa son inaceptables» - ABC,2026-04-13 22:37:00+00:00,2026-04-13 22:37
Starmer,29,9,1,19,0.276,"{'20minutos': 4, 'google_news_es': 4, 'google_news_internacional': 4, 'levante_emv': 2, 'lavanguardia': 2}",Starmer busca impulsar nuevas leyes que le permitan acercarse a la UE sin el bloqueo del Parlamento británico,2026-04-13 22:37:00+00:00,2026-04-13 22:37
Erdogan,8,1,1,6,0.0,"{'google_news_internacional': 3, 'france24_es': 2, 'elpais_internacional': 1, 'levante_emv': 1, 'elpais': 1}",Ataques rusos dejan cinco muertos en Ucrania mientras Zelenski se reúne con Erdogan en Estambul,2026-04-13 22:37:00+00:00,2026-04-13 22:37
Trudeau,2,0,0,2,0.0,"{'lavanguardia': 1, 'elpais_internacional': 1}","El príncipe Enrique y Justin Trudeau, juntos de vacaciones con Meghan Markle y Katy Perry",2026-04-13 22:37:00+00:00,2026-04-13 22:37
Scholz,0,0,0,0,0.0,,,2026-04-13 22:37:00+00:00,2026-04-13 22:37
Trump,3795,398,203,3194,0.051,"{'google_news_internacional': 602, 'google_news_es': 516, '20minutos': 329, 'lavanguardia': 282, 'france24_es': 225}",¿Ofende Trump-Jesucristo?,2026-04-13 23:07:00+00:00,2026-04-13 23:07
Xi Jinping,3352,467,125,2760,0.102,"{'google_news_internacional': 372, '20minutos': 337, 'google_news_es': 334, 'okdiario': 280, 'levante_emv': 239}",Merlin se aferra a máximos tras el éxito de la ampliación de capital,2026-04-13 23:07:00+00:00,2026-04-13 23:07
Illa,3147,257,91,2799,0.053,"{'okdiario': 426, '20minutos': 365, 'google_news_es': 352, 'google_news_internacional': 246, 'elpais': 206}",0-0 | Punto de oficio en Zorrilla - SD Eibar,2026-04-13 23:07:00+00:00,2026-04-13 23:07
Sánchez,1827,199,137,1491,0.034,"{'google_news_politica': 263, 'okdiario': 232, '20minutos': 156, 'google_news_es': 142, 'huffington_es': 130}",Sánchez y la lección china,2026-04-13 23:07:00+00:00,2026-04-13 23:07
Feijóo,1574,236,169,1169,0.043,"{'google_news_politica': 178, 'google_news_es': 144, 'levante_emv': 124, 'eldiario': 120, '20minutos': 115}","""Intentan contraprogramar"": el PSOE apunta al PP por reunirse con María Corina Machado durante su visita a  España mient",2026-04-13 23:07:00+00:00,2026-04-13 23:07
Abascal,1345,229,114,1002,0.086,"{'google_news_politica': 148, 'google_news_es': 121, 'heraldo_aragon': 107, 'levante_emv': 102, 'okdiario': 97}","Triple golpe a Vox por la caída de Orban: financiero, estratégico y de futuro",2026-04-13 23:07:00+00:00,2026-04-13 23:07
Yolanda Díaz,486,62,24,400,0.078,"{'20minutos': 65, 'google_news_es': 42, 'elcorreo': 33, 'levante_emv': 32, 'google_news_politica': 30}",¿Se volverá a presentar Paco de la Torre? La oposición sigue pensando que sumaría más sin él,2026-04-13 23:07:00+00:00,2026-04-13 23:07
Mazón,422,15,44,363,-0.069,"{'elpais': 81, 'google_news_es': 57, 'lavanguardia': 49, 'levante_emv': 49, 'okdiario': 26}","La casa de lujo prefabricada de Amazon: cocina, salón, dos habitaciones y baño equipado por 11.000 euros",2026-04-13 23:07:00+00:00,2026-04-13 23:07
Puente,334,24,12,298,0.036,"{'okdiario': 51, 'google_news_internacional': 43, '20minutos': 39, 'google_news_es': 31, 'heraldo_aragon': 27}","Los dos purgados por Puente, ante el Supremo para explicar el gran pelotazo de la trama de Ábalos: 4 millones en 38 minu",2026-04-13 23:07:00+00:00,2026-04-13 23:07
Ayuso,279,36,16,227,0.072,"{'okdiario': 41, 'elpais': 33, 'google_news_es': 29, 'huffington_es': 26, 'eldiario': 25}",El Gobierno de Ayuso lo confirma y la agricultura lo celebra: se mantienen las dos ayudas más necesarias para el sector,2026-04-13 23:07:00+00:00,2026-04-13 23:07
Putin,170,13,7,150,0.035,"{'google_news_es': 29, '20minutos': 23, 'google_news_internacional': 21, 'elespanol': 13, 'france24_es': 12}","Magyar promete un cambio de régimen para alejarse de Putin: ""El lugar de Hungría era, es y será en Europa""",2026-04-13 23:07:00+00:00,2026-04-13 23:07
Jamenei,168,7,4,157,0.018,"{'20minutos': 28, 'okdiario': 21, 'google_news_es': 21, 'lavanguardia': 18, 'france24_es': 13}","Mojtaba Jamenei está desfigurado pero vivo y sigue dándo órdenes, según su círculo más íntimo",2026-04-13 23:07:00+00:00,2026-04-13 23:07
Zelenski,135,23,9,103,0.104,"{'20minutos': 27, 'google_news_es': 20, 'france24_es': 12, 'levante_emv': 12, 'elmundo_internacional': 9}","Rusia se niega a extender la tregua de Pascua si Zelenski no ""acepta sus condiciones""",2026-04-13 23:07:00+00:00,2026-04-13 23:07
Milei,128,23,12,93,0.086,"{'google_news_politica': 24, 'elpais': 20, 'google_news_internacional': 15, 'google_news_es': 7, 'eldiario': 7}","Milei ya tiene su 'Ábalos': Adorni, jefe de gabinete, mano derecha y portavoz, imputado por enriquecimiento ilegal",2026-04-13 23:07:00+00:00,2026-04-13 23:07
Puigdemont,109,12,12,85,0.0,"{'lavanguardia': 32, 'levante_emv': 11, 'elespanol': 9, 'google_news_politica': 8, '20minutos': 7}",Los autónomos presionan junto a Junts para que el Gobierno congele las cuotas de todo el colectivo y no solo de una part,2026-04-13 23:07:00+00:00,2026-04-13 23:07
Macron,108,27,6,75,0.194,"{'google_news_internacional': 26, 'france24_es': 14, 'google_news_es': 11, '20minutos': 10, 'levante_emv': 8}",Macron recibe en el Elíseo a María Corina Machado en la antesala de su viaje a España,2026-04-13 23:07:00+00:00,2026-04-13 23:07
Montero MJ,84,7,8,69,-0.012,"{'google_news_politica': 15, 'elespanol': 10, 'levante_emv': 9, 'google_news_es': 8, 'sur': 8}",María Jesús Montero comparecerá en la comisión de investigación sobre la SEPI en el Senado el 20 de abril - RTVE.es,2026-04-13 23:07:00+00:00,2026-04-13 23:07
Lula,84,7,2,75,0.06,"{'google_news_es': 24, 'levante_emv': 7, 'eldiario': 6, 'elpais': 6, 'okdiario': 6}",El ICE detiene en Florida a un exdiputado brasileño condenado por la trama golpista contra Lula,2026-04-13 23:07:00+00:00,2026-04-13 23:07
Modi,78,4,3,71,0.013,"{'google_news_es': 9, 'lavanguardia': 9, 'heraldo_aragon': 8, 'levante_emv': 8, '20minutos': 6}",De Guindos tiene la solución al problema de la vivienda en España: “Hay que modificar la regulación del alquiler” - Info,2026-04-13 23:07:00+00:00,2026-04-13 23:07
Rajoy,67,0,2,65,-0.03,"{'google_news_es': 9, 'google_news_politica': 8, 'levante_emv': 7, 'huffington_es': 7, 'eldiario': 6}","Gonzalo Fraga, el testigo de  cargo capaz de descifrar al 'asturiano' Rajoy  y a 'Cospe'",2026-04-13 23:07:00+00:00,2026-04-13 23:07
Irene Montero,67,0,1,66,-0.015,"{'huffington_es': 11, 'elespanol': 10, 'google_news_es': 6, '20minutos': 5, 'europapress': 5}",Irene Montero vuelve a compartir un acto con partidos que están en Sumar: charla con Mónica Oltra (Compromís) y Sira Reg,2026-04-13 23:07:00+00:00,2026-04-13 23:07
Meloni,57,0,22,35,-0.386,"{'google_news_internacional': 13, 'lavanguardia': 8, 'levante_emv': 6, 'elcorreo': 4, 'elmundo': 4}",Meloni cierra filas con León XIV: «Las palabras de Trump sobre el Papa son inaceptables» - ABC,2026-04-13 23:07:00+00:00,2026-04-13 23:07
Starmer,29,9,1,19,0.276,"{'20minutos': 4, 'google_news_es': 4, 'google_news_internacional': 4, 'levante_emv': 2, 'lavanguardia': 2}",Starmer busca impulsar nuevas leyes que le permitan acercarse a la UE sin el bloqueo del Parlamento británico,2026-04-13 23:07:00+00:00,2026-04-13 23:07
Erdogan,8,1,1,6,0.0,"{'google_news_internacional': 3, 'france24_es': 2, 'elpais_internacional': 1, 'levante_emv': 1, 'elpais': 1}",Ataques rusos dejan cinco muertos en Ucrania mientras Zelenski se reúne con Erdogan en Estambul,2026-04-13 23:07:00+00:00,2026-04-13 23:07
Trudeau,2,0,0,2,0.0,"{'lavanguardia': 1, 'elpais_internacional': 1}","El príncipe Enrique y Justin Trudeau, juntos de vacaciones con Meghan Markle y Katy Perry",2026-04-13 23:07:00+00:00,2026-04-13 23:07
Scholz,0,0,0,0,0.0,,,2026-04-13 23:07:00+00:00,2026-04-13 23:07
Trump,3798,398,204,3196,0.051,"{'google_news_internacional': 602, 'google_news_es': 518, '20minutos': 329, 'lavanguardia': 282, 'france24_es': 225}",¿Ofende Trump-Jesucristo?,2026-04-13 23:37:00+00:00,2026-04-13 23:37
Xi Jinping,3353,467,125,2761,0.102,"{'google_news_internacional': 373, '20minutos': 337, 'google_news_es': 334, 'okdiario': 280, 'levante_emv': 239}",Merlin se aferra a máximos tras el éxito de la ampliación de capital,2026-04-13 23:37:00+00:00,2026-04-13 23:37
Illa,3147,257,91,2799,0.053,"{'okdiario': 426, '20minutos': 365, 'google_news_es': 352, 'google_news_internacional': 246, 'elpais': 206}",0-0 | Punto de oficio en Zorrilla - SD Eibar,2026-04-13 23:37:00+00:00,2026-04-13 23:37
Sánchez,1828,199,137,1492,0.034,"{'google_news_politica': 264, 'okdiario': 232, '20minutos': 156, 'google_news_es': 142, 'huffington_es': 130}",Sánchez y la lección china,2026-04-13 23:37:00+00:00,2026-04-13 23:37
Feijóo,1574,236,169,1169,0.043,"{'google_news_politica': 178, 'google_news_es': 144, 'levante_emv': 124, 'eldiario': 120, '20minutos': 115}","""Intentan contraprogramar"": el PSOE apunta al PP por reunirse con María Corina Machado durante su visita a  España mient",2026-04-13 23:37:00+00:00,2026-04-13 23:37
Abascal,1345,229,114,1002,0.086,"{'google_news_politica': 148, 'google_news_es': 121, 'heraldo_aragon': 107, 'levante_emv': 102, 'okdiario': 97}","Triple golpe a Vox por la caída de Orban: financiero, estratégico y de futuro",2026-04-13 23:37:00+00:00,2026-04-13 23:37
Yolanda Díaz,486,62,24,400,0.078,"{'20minutos': 65, 'google_news_es': 42, 'elcorreo': 33, 'levante_emv': 32, 'google_news_politica': 30}",¿Se volverá a presentar Paco de la Torre? La oposición sigue pensando que sumaría más sin él,2026-04-13 23:37:00+00:00,2026-04-13 23:37
Mazón,422,15,44,363,-0.069,"{'elpais': 81, 'google_news_es': 57, 'lavanguardia': 49, 'levante_emv': 49, 'okdiario': 26}","La casa de lujo prefabricada de Amazon: cocina, salón, dos habitaciones y baño equipado por 11.000 euros",2026-04-13 23:37:00+00:00,2026-04-13 23:37
Puente,334,24,12,298,0.036,"{'okdiario': 51, 'google_news_internacional': 43, '20minutos': 39, 'google_news_es': 31, 'heraldo_aragon': 27}","Los dos purgados por Puente, ante el Supremo para explicar el gran pelotazo de la trama de Ábalos: 4 millones en 38 minu",2026-04-13 23:37:00+00:00,2026-04-13 23:37
Ayuso,279,36,16,227,0.072,"{'okdiario': 41, 'elpais': 33, 'google_news_es': 29, 'huffington_es': 26, 'eldiario': 25}",El Gobierno de Ayuso lo confirma y la agricultura lo celebra: se mantienen las dos ayudas más necesarias para el sector,2026-04-13 23:37:00+00:00,2026-04-13 23:37
Putin,170,13,7,150,0.035,"{'google_news_es': 29, '20minutos': 23, 'google_news_internacional': 21, 'elespanol': 13, 'france24_es': 12}","Magyar promete un cambio de régimen para alejarse de Putin: ""El lugar de Hungría era, es y será en Europa""",2026-04-13 23:37:00+00:00,2026-04-13 23:37
Jamenei,168,7,4,157,0.018,"{'20minutos': 28, 'okdiario': 21, 'google_news_es': 21, 'lavanguardia': 18, 'france24_es': 13}","Mojtaba Jamenei está desfigurado pero vivo y sigue dándo órdenes, según su círculo más íntimo",2026-04-13 23:37:00+00:00,2026-04-13 23:37
Zelenski,135,23,9,103,0.104,"{'20minutos': 27, 'google_news_es': 20, 'france24_es': 12, 'levante_emv': 12, 'elmundo_internacional': 9}","Rusia se niega a extender la tregua de Pascua si Zelenski no ""acepta sus condiciones""",2026-04-13 23:37:00+00:00,2026-04-13 23:37
Milei,128,23,12,93,0.086,"{'google_news_politica': 24, 'elpais': 20, 'google_news_internacional': 15, 'google_news_es': 7, 'eldiario': 7}","Milei ya tiene su 'Ábalos': Adorni, jefe de gabinete, mano derecha y portavoz, imputado por enriquecimiento ilegal",2026-04-13 23:37:00+00:00,2026-04-13 23:37
Puigdemont,109,12,12,85,0.0,"{'lavanguardia': 32, 'levante_emv': 11, 'elespanol': 9, 'google_news_politica': 8, '20minutos': 7}",Los autónomos presionan junto a Junts para que el Gobierno congele las cuotas de todo el colectivo y no solo de una part,2026-04-13 23:37:00+00:00,2026-04-13 23:37
Macron,108,27,6,75,0.194,"{'google_news_internacional': 26, 'france24_es': 14, 'google_news_es': 11, '20minutos': 10, 'levante_emv': 8}",Macron recibe en el Elíseo a María Corina Machado en la antesala de su viaje a España,2026-04-13 23:37:00+00:00,2026-04-13 23:37
Montero MJ,84,7,8,69,-0.012,"{'google_news_politica': 15, 'elespanol': 10, 'levante_emv': 9, 'google_news_es': 8, 'sur': 8}",María Jesús Montero comparecerá en la comisión de investigación sobre la SEPI en el Senado el 20 de abril - RTVE.es,2026-04-13 23:37:00+00:00,2026-04-13 23:37
Lula,84,7,2,75,0.06,"{'google_news_es': 24, 'levante_emv': 7, 'eldiario': 6, 'elpais': 6, 'okdiario': 6}",El ICE detiene en Florida a un exdiputado brasileño condenado por la trama golpista contra Lula,2026-04-13 23:37:00+00:00,2026-04-13 23:37
Modi,78,4,3,71,0.013,"{'google_news_es': 9, 'lavanguardia': 9, 'heraldo_aragon': 8, 'levante_emv': 8, '20minutos': 6}",De Guindos tiene la solución al problema de la vivienda en España: “Hay que modificar la regulación del alquiler” - Info,2026-04-13 23:37:00+00:00,2026-04-13 23:37
Rajoy,67,0,2,65,-0.03,"{'google_news_es': 9, 'google_news_politica': 8, 'levante_emv': 7, 'huffington_es': 7, 'eldiario': 6}","Gonzalo Fraga, el testigo de  cargo capaz de descifrar al 'asturiano' Rajoy  y a 'Cospe'",2026-04-13 23:37:00+00:00,2026-04-13 23:37
Irene Montero,67,0,1,66,-0.015,"{'huffington_es': 11, 'elespanol': 10, 'google_news_es': 6, '20minutos': 5, 'europapress': 5}",Irene Montero vuelve a compartir un acto con partidos que están en Sumar: charla con Mónica Oltra (Compromís) y Sira Reg,2026-04-13 23:37:00+00:00,2026-04-13 23:37
Meloni,57,0,22,35,-0.386,"{'google_news_internacional': 13, 'lavanguardia': 8, 'levante_emv': 6, 'elcorreo': 4, 'elmundo': 4}",Meloni cierra filas con León XIV: «Las palabras de Trump sobre el Papa son inaceptables» - ABC,2026-04-13 23:37:00+00:00,2026-04-13 23:37
Starmer,29,9,1,19,0.276,"{'20minutos': 4, 'google_news_es': 4, 'google_news_internacional': 4, 'levante_emv': 2, 'lavanguardia': 2}",Starmer busca impulsar nuevas leyes que le permitan acercarse a la UE sin el bloqueo del Parlamento británico,2026-04-13 23:37:00+00:00,2026-04-13 23:37
Erdogan,8,1,1,6,0.0,"{'google_news_internacional': 3, 'france24_es': 2, 'elpais_internacional': 1, 'levante_emv': 1, 'elpais': 1}",Ataques rusos dejan cinco muertos en Ucrania mientras Zelenski se reúne con Erdogan en Estambul,2026-04-13 23:37:00+00:00,2026-04-13 23:37
Trudeau,2,0,0,2,0.0,"{'lavanguardia': 1, 'elpais_internacional': 1}","El príncipe Enrique y Justin Trudeau, juntos de vacaciones con Meghan Markle y Katy Perry",2026-04-13 23:37:00+00:00,2026-04-13 23:37
Scholz,0,0,0,0,0.0,,,2026-04-13 23:37:00+00:00,2026-04-13 23:37
Trump,3801,398,205,3198,0.051,"{'google_news_internacional': 602, 'google_news_es': 521, '20minutos': 329, 'lavanguardia': 282, 'france24_es': 225}",¿Ofende Trump-Jesucristo?,2026-04-14 00:07:00+00:00,2026-04-14 00:07
Xi Jinping,3353,467,125,2761,0.102,"{'google_news_internacional': 373, '20minutos': 337, 'google_news_es': 334, 'okdiario': 280, 'levante_emv': 239}",Merlin se aferra a máximos tras el éxito de la ampliación de capital,2026-04-14 00:07:00+00:00,2026-04-14 00:07
Illa,3147,257,91,2799,0.053,"{'okdiario': 426, '20minutos': 365, 'google_news_es': 352, 'google_news_internacional': 246, 'elpais': 206}",0-0 | Punto de oficio en Zorrilla - SD Eibar,2026-04-14 00:07:00+00:00,2026-04-14 00:07
Sánchez,1826,199,137,1490,0.034,"{'google_news_politica': 262, 'okdiario': 232, '20minutos': 156, 'google_news_es': 142, 'huffington_es': 130}",Sánchez y la lección china,2026-04-14 00:07:00+00:00,2026-04-14 00:07
Feijóo,1573,236,169,1168,0.043,"{'google_news_politica': 177, 'google_news_es': 144, 'levante_emv': 124, 'eldiario': 120, '20minutos': 115}","""Intentan contraprogramar"": el PSOE apunta al PP por reunirse con María Corina Machado durante su visita a  España mient",2026-04-14 00:07:00+00:00,2026-04-14 00:07
Abascal,1344,229,114,1001,0.086,"{'google_news_politica': 147, 'google_news_es': 121, 'heraldo_aragon': 107, 'levante_emv': 102, 'okdiario': 97}","Triple golpe a Vox por la caída de Orban: financiero, estratégico y de futuro",2026-04-14 00:07:00+00:00,2026-04-14 00:07
Yolanda Díaz,486,62,24,400,0.078,"{'20minutos': 65, 'google_news_es': 42, 'elcorreo': 33, 'levante_emv': 32, 'google_news_politica': 30}",¿Se volverá a presentar Paco de la Torre? La oposición sigue pensando que sumaría más sin él,2026-04-14 00:07:00+00:00,2026-04-14 00:07
